Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Price
2019,Acura,Other Model Type,SUV,AWD,Red,White,Gas,Automatic,4,,10.31,65882,9.7,5,41990
2020,Acura,Other Model Type,SUV,AWD,Red,Black,Gas,Other,,4,10.31,50329,9.7,4,44995
2002,Acura,Other Model Type,Sedan,FWD,Beige,Other Colour,Gas,Automatic,4,,7.25,229000,13.8,22,2998
2003,Acura,Other Model Type,Coupe,FWD,Black,Black,Gas,Manual,2,4,7.71,230098,13.0,21,6999
2002,Acura,Other Model Type,Sedan,FWD,Black,Other Colour,Gas,Automatic,4,4,7.25,123338,13.8,22,6999
2005,Acura,Other Model Type,Coupe,FWD,Black,White,Gas,Automatic,2,4,8.0,191492,12.5,19,7999
2008,Acura,Other Model Type,SUV,AWD,Other Colour,Grey,Gas,Automatic,4,4,11.06,226356,9.0,16,8995
2016,Acura,Other Model Type,Sedan,FWD,Black,Blue,Premium Unleaded,Automatic,4,4,8.1,99000,12.3,8,22900
2019,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,4,,10.29,103658,9.7,5,34995
2019,Acura,Other Model Type,Sedan,AWD,Black,White,Gas,Automatic,4,,9.74,10735,10.3,5,35495
2019,Acura,Other Model Type,Sedan,AWD,Black,Other Colour,Gas,Automatic,4,,10.01,50412,10.0,5,35995
2022,Acura,Other Model Type,Sedan,FWD,Black,Other Colour,Gas,Automatic,4,,8.6,10122,11.6,2,35995
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.92,80862,10.1,5,35995
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.92,67934,10.1,5,36995
2019,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,,10.76,85772,9.3,5,37995
2019,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,4,,10.31,65969,9.7,5,38989
2020,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,4,,10.31,102340,9.7,4,39995
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,4,,9.92,25777,10.1,4,40788
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.92,55635,10.1,4,42995
2021,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,,10.12,92078,9.9,3,44995
2020,Acura,Other Model Type,SUV,AWD,Red,Black,Gas,Automatic,4,,10.98,48622,9.1,4,45995
2021,Acura,Other Model Type,SUV,AWD,Red,White,Gas,Automatic,4,,10.31,49050,9.7,3,46495
2022,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,4,,10.31,14700,9.7,2,53995
2022,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,4,,11.16,50845,9.0,2,60866
2022,Acura,Other Model Type,SUV,AWD,Red,Blue,Gas,Automatic,4,,11.16,45339,9.0,2,61417
2005,Acura,Other Model Type,Sedan,FWD,Other Colour,Grey,Gas,Automatic,,,9.03,316168,11.1,19,3000
2011,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Manual,4,,8.51,234000,11.8,13,9500
2011,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,10.35,240000,9.7,13,9999
2007,Acura,Other Model Type,Sedan,FWD,Grey,Blue,Gas,Automatic,4,6,10.28,178878,9.7,17,12999
2010,Acura,Other Model Type,SUV,AWD,Beige,White,Gas,Automatic,4,,11.58,181045,8.6,14,13980
2018,Acura,Other Model Type,Sedan,FWD,Other Colour,White,Gas,Automatic,4,4,8.23,83020,12.2,6,25989
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.92,34586,10.1,5,40995
2012,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,4,7.91,142791,12.6,12,10985
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,,10.31,93111,9.7,5,38426
2019,Acura,Other Model Type,SUV,AWD,Red,White,Gas,Automatic,4,,10.87,88199,9.2,5,39495
2020,Acura,Other Model Type,SUV,AWD,Red,White,Premium Unleaded,Automatic,4,4,10.31,32575,9.7,4,43888
2009,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,,8.21,253873,12.2,15,6990
2015,Acura,Other Model Type,SUV,AWD,Black,Grey,Gas,Automatic,4,6,10.57,230000,9.5,9,13888
2012,Acura,Other Model Type,SUV,AWD,Tan,White,Gas,Automatic,,,11.58,141000,8.6,12,14995
2014,Acura,Other Model Type,SUV,AWD,Beige,White,Gas,Automatic,,,9.17,177000,10.9,10,14995
2015,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,,,10.57,161000,9.5,9,17995
2015,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.57,160000,9.5,9,18450
2015,Acura,Other Model Type,SUV,AWD,Other Colour,Black,Gas,Automatic,4,6,10.57,154925,9.5,9,18490
2015,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,11.08,206795,9.0,9,18990
2017,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,4,,9.54,185361,10.5,7,19798
2017,Acura,Other Model Type,SUV,AWD,Tan,White,Premium Unleaded,Automatic,4,6,10.74,182129,9.3,7,19990
2016,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,,6,10.8,187403,9.3,8,20880
2016,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,10.69,63846,9.4,8,21995
2016,Acura,Other Model Type,Sedan,AWD,Black,White,Gas,Automatic,4,6,9.54,106520,10.5,8,22895
2016,Acura,Other Model Type,SUV,AWD,Beige,White,Gas,Automatic,,,10.8,149000,9.3,8,25950
2017,Acura,Other Model Type,SUV,AWD,Other Colour,Other Colour,Gas,Automatic,4,6,10.74,73000,9.3,7,25950
2018,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,4,,10.74,55656,9.3,6,26995
2016,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,11.08,124021,9.0,8,27500
2018,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,4,6,9.74,72702,10.3,6,27880
2017,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,,10.98,159598,9.1,7,27888
2019,Acura,Other Model Type,Sedan,FWD,Black,Other Colour,Gas,Automatic,4,4,8.7,56700,11.5,5,28880
2019,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,,,8.7,80000,11.5,5,28950
2019,Acura,Other Model Type,Sedan,FWD,Other Colour,Blue,Gas,Automatic,4,4,8.6,74148,11.6,5,29990
2019,Acura,Other Model Type,Sedan,FWD,Beige,White,Premium Unleaded,Automatic,4,4,8.7,62099,11.5,5,30388
2016,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,11.08,53000,9.0,8,30900
2019,Acura,Other Model Type,SUV,AWD,Black,Blue,Gas,Automatic,4,4,9.92,77300,10.1,5,32880
2018,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.98,63000,9.1,6,34880
2020,Acura,Other Model Type,Sedan,FWD,Red,White,Gas,Automatic,4,,8.94,15288,11.2,4,34888
2019,Acura,Other Model Type,SUV,AWD,Black,Grey,Gas,Automatic,4,4,9.92,48001,10.1,5,34999
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,2,4,9.92,80538,10.1,5,36600
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,10.76,37200,9.3,5,37900
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,,,10.76,111000,9.3,5,37900
2020,Acura,Other Model Type,Sedan,AWD,Red,Other Colour,Premium Unleaded,Automatic,2,6,10.29,47997,9.7,4,38500
2019,Acura,Other Model Type,SUV,AWD,Black,White,Premium Unleaded,Automatic,2,4,9.92,51915,10.1,5,38588
2019,Acura,Other Model Type,SUV,AWD,Other Colour,Black,Gas,Automatic,4,,10.76,58824,9.3,5,38699
2020,Acura,Other Model Type,Sedan,AWD,Black,Black,Premium Unleaded,Automatic,2,6,10.29,39732,9.7,4,38900
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,2,4,10.31,68267,9.7,5,38989
2019,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,10.76,102550,9.3,5,39597
2020,Acura,Other Model Type,SUV,AWD,Other Colour,White,Premium Unleaded,Automatic,2,4,9.92,70852,10.1,4,40800
2020,Acura,Other Model Type,SUV,AWD,Red,Black,Premium Unleaded,Automatic,2,4,10.31,79374,9.7,4,41500
2019,Acura,Other Model Type,SUV,AWD,Grey,Other Colour,Premium Unleaded,Automatic,2,4,9.92,43950,10.1,5,41883
2020,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Premium Unleaded,Automatic,2,6,10.98,95764,9.1,4,42337
2020,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Premium Unleaded,Automatic,2,4,9.92,29552,10.1,4,42800
2019,Acura,Other Model Type,SUV,AWD,Red,Black,Gas,Automatic,4,6,10.87,54789,9.2,5,42898
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,,6,10.76,49100,9.3,5,43688
2020,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,,,10.91,32000,9.2,4,45900
2020,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,,,10.91,65000,9.2,4,46900
2021,Acura,Other Model Type,Sedan,AWD,Beige,White,Premium Unleaded,Automatic,2,4,9.76,7259,10.2,3,47555
2021,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,10.31,37033,9.7,3,47892
2022,Acura,Other Model Type,Sedan,AWD,Black,White,Premium Unleaded,Automatic,2,4,9.86,15100,10.1,2,49980
2022,Acura,Other Model Type,SUV,AWD,Black,White,Premium Unleaded,Automatic,2,6,11.16,17582,9.0,2,62800
2011,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,11.58,259061,8.6,13,9995
2011,Acura,Other Model Type,SUV,AWD,Other Colour,Other Colour,Gas,Automatic,4,6,11.58,168000,8.6,13,11200
