Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Price
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,9.92,80862.0,10.1,5.0,35995.0
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,9.92,67934.0,10.1,5.0,36995.0
2019.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,5.0,10.76,85772.0,9.3,5.0,37995.0
2019.0,0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,5.0,10.31,65969.0,9.7,5.0,38989.0
2020.0,0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,6.0,10.31,102340.0,9.7,4.0,39995.0
2020.0,0.0,10.0,8.0,3.0,1.0,0.0,8.0,0.0,4.0,4.0,9.92,25777.0,10.1,4.0,40788.0
2020.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,55635.0,10.1,4.0,42995.0
2021.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.12,92078.0,9.9,3.0,44995.0
2020.0,0.0,10.0,8.0,3.0,7.0,0.0,2.0,0.0,4.0,6.0,10.98,48622.0,9.1,4.0,45995.0
2021.0,0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,5.0,10.31,49050.0,9.7,3.0,46495.0
2022.0,0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,4.0,10.31,14700.0,9.7,2.0,53995.0
2022.0,0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,7.0,11.16,50845.0,9.0,2.0,60866.0
2022.0,0.0,10.0,8.0,3.0,7.0,1.0,2.0,0.0,4.0,6.0,11.16,45339.0,9.0,2.0,61417.0
2005.0,0.0,10.0,7.0,4.0,6.0,2.0,2.0,0.0,4.0,5.0,9.03,316168.0,11.1,19.0,3000.0
2011.0,0.0,10.0,7.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,8.51,234000.0,11.8,13.0,9500.0
2011.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,10.35,240000.0,9.7,13.0,9999.0
2007.0,0.0,10.0,7.0,4.0,5.0,1.0,2.0,0.0,4.0,6.0,10.28,178878.0,9.7,17.0,12999.0
2010.0,0.0,10.0,8.0,3.0,0.0,5.0,2.0,0.0,4.0,6.0,11.58,181045.0,8.6,14.0,13980.0
2018.0,0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.23,83020.0,12.2,6.0,25989.0
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,34586.0,10.1,5.0,40995.0
2012.0,0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,7.91,142791.0,12.6,12.0,10985.0
2019.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.31,93111.0,9.7,5.0,38426.0
2019.0,0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,10.87,88199.0,9.2,5.0,39495.0
2020.0,0.0,10.0,8.0,3.0,7.0,5.0,8.0,0.0,4.0,4.0,10.31,32575.0,9.7,4.0,43888.0
2009.0,0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,8.21,253873.0,12.2,15.0,6990.0
2015.0,0.0,10.0,8.0,3.0,1.0,2.0,2.0,0.0,4.0,6.0,10.57,230000.0,9.5,9.0,13888.0
2012.0,0.0,10.0,8.0,3.0,8.0,5.0,2.0,0.0,3.0,6.0,11.58,141000.0,8.6,12.0,14995.0
2014.0,0.0,10.0,8.0,3.0,0.0,5.0,2.0,0.0,3.0,5.0,9.17,177000.0,10.9,10.0,14995.0
2015.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,3.0,6.0,10.57,161000.0,9.5,9.0,17995.0
2015.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.57,160000.0,9.5,9.0,18450.0
2015.0,0.0,10.0,8.0,3.0,6.0,0.0,2.0,0.0,4.0,6.0,10.57,154925.0,9.5,9.0,18490.0
2015.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,11.08,206795.0,9.0,9.0,18990.0
2017.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,9.54,185361.0,10.5,7.0,19798.0
2017.0,0.0,10.0,8.0,3.0,8.0,5.0,8.0,0.0,4.0,6.0,10.74,182129.0,9.3,7.0,19990.0
2016.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.8,187403.0,9.3,8.0,20880.0
2016.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,10.69,63846.0,9.4,8.0,21995.0
2016.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,9.54,106520.0,10.5,8.0,22895.0
2016.0,0.0,10.0,8.0,3.0,0.0,5.0,2.0,0.0,4.0,5.0,10.8,149000.0,9.3,8.0,25950.0
2017.0,0.0,10.0,8.0,3.0,6.0,3.0,2.0,0.0,4.0,6.0,10.74,73000.0,9.3,7.0,25950.0
2018.0,0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,10.74,55656.0,9.3,6.0,26995.0
2016.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,11.08,124021.0,9.0,8.0,27500.0
2018.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,9.74,72702.0,10.3,6.0,27880.0
2017.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,7.0,10.98,159598.0,9.1,7.0,27888.0
2019.0,0.0,10.0,7.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,8.7,56700.0,11.5,5.0,28880.0
2019.0,0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,8.7,80000.0,11.5,5.0,28950.0
2019.0,0.0,10.0,7.0,4.0,6.0,1.0,2.0,0.0,4.0,4.0,8.6,74148.0,11.6,5.0,29990.0
2019.0,0.0,10.0,7.0,4.0,0.0,5.0,8.0,0.0,4.0,4.0,8.7,62099.0,11.5,5.0,30388.0
2016.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,11.08,53000.0,9.0,8.0,30900.0
2019.0,0.0,10.0,8.0,3.0,1.0,1.0,2.0,0.0,4.0,4.0,9.92,77300.0,10.1,5.0,32880.0
2018.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.98,63000.0,9.1,6.0,34880.0
2020.0,0.0,10.0,7.0,4.0,7.0,5.0,2.0,0.0,4.0,4.0,8.94,15288.0,11.2,4.0,34888.0
