Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2022,Acura,Other Model Type,SUV,AWD,Black,White,Premium Unleaded,Automatic,2,6,11.16,17582,9.0,2,62800,20491.62
2011,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,11.58,259061,8.6,13,9995,130.02
2011,Acura,Other Model Type,SUV,AWD,Other Colour,Other Colour,Gas,Automatic,4,6,11.58,168000,8.6,13,11200,220.22
2013,Acura,Other Model Type,SUV,AWD,Other Colour,Grey,Gas,Automatic,4,6,11.58,218600,8.6,11,13495,265.65
2013,Acura,Other Model Type,SUV,AWD,Black,Grey,Gas,Automatic,4,6,11.58,230659,8.6,11,13995,261.69
2014,Acura,Other Model Type,Sedan,FWD,Beige,White,Gas,Automatic,4,,8.78,167760,11.4,10,14900,419.1
2013,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,,11.58,191687,8.6,11,14999,334.65
2011,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,11.58,154800,8.6,13,15495,329.08
2013,Acura,Other Model Type,SUV,AWD,Other Colour,Other Colour,Gas,Automatic,4,6,8.18,146000,12.2,11,15950,460.1
2015,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,10.74,192000,9.3,9,15988,435.32
2012,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,4,6,11.58,175860,8.6,12,15990,344.13
2013,Acura,Other Model Type,SUV,AWD,Beige,White,Gas,Automatic,4,,11.58,151000,8.6,11,16995,475.02
2016,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,5,6,11.08,226214,9.0,8,17999,457.19
2014,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,,8.78,105840,11.4,10,18888,815.26
2015,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,,10.01,188900,10.0,9,18995,525.25
2015,Acura,Other Model Type,Sedan,AWD,Black,White,Gas,Automatic,4,6,9.54,135000,10.5,9,19900,754.83
2016,Acura,Other Model Type,SUV,AWD,Black,Grey,Gas,Automatic,4,,10.69,171422,9.4,8,19995,661.28
2015,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,6,9.27,98374,10.8,9,22880,1161.16
2016,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.17,128850,10.9,8,23888,1032.25
2016,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.8,163900,9.3,8,24888,858.7
2017,Acura,Other Model Type,SUV,AWD,Brown,White,Gas,Automatic,4,6,10.76,163234,9.3,7,25995,975.37
2017,Acura,Other Model Type,SUV,AWD,Grey,Grey,Gas,Automatic,4,,10.74,95750,9.3,7,26988,1658.84
