Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2020.0,0.0,10.0,7.0,3.0,6.0,5.0,6.0,0.0,2.0,4.0,9.92,70852.0,10.1,4.0,40800.0,4037.01
2020.0,0.0,10.0,7.0,3.0,7.0,0.0,6.0,0.0,2.0,4.0,10.31,79374.0,9.7,4.0,41500.0,3714.73
2019.0,0.0,10.0,7.0,3.0,5.0,3.0,6.0,0.0,2.0,4.0,9.92,43950.0,10.1,5.0,41883.0,5822.47
2020.0,0.0,10.0,7.0,3.0,7.0,3.0,6.0,0.0,2.0,6.0,10.98,95764.0,9.1,4.0,42337.0,3202.38
2020.0,0.0,10.0,7.0,3.0,1.0,3.0,6.0,0.0,2.0,4.0,9.92,29552.0,10.1,4.0,42800.0,8656.96
2019.0,0.0,10.0,7.0,3.0,7.0,0.0,2.0,0.0,4.0,6.0,10.87,54789.0,9.2,5.0,42898.0,4965.89
2021.0,0.0,10.0,8.0,3.0,0.0,5.0,6.0,0.0,2.0,4.0,9.76,7259.0,10.2,3.0,47555.0,23420.68
2021.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,10.31,37033.0,9.7,3.0,47892.0,8655.24
2022.0,0.0,10.0,8.0,3.0,1.0,5.0,6.0,0.0,2.0,4.0,9.86,15100.0,10.1,2.0,49980.0,17921.12
2022.0,0.0,10.0,7.0,3.0,1.0,5.0,6.0,0.0,2.0,6.0,11.16,17582.0,9.0,2.0,62800.0,20491.62
2011.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,11.58,259061.0,8.6,13.0,9995.0,130.02
2011.0,0.0,10.0,7.0,3.0,6.0,3.0,2.0,0.0,4.0,6.0,11.58,168000.0,8.6,13.0,11200.0,220.22
2013.0,0.0,10.0,7.0,3.0,6.0,2.0,2.0,0.0,4.0,6.0,11.58,218600.0,8.6,11.0,13495.0,265.65
2013.0,0.0,10.0,7.0,3.0,1.0,2.0,2.0,0.0,4.0,6.0,11.58,230659.0,8.6,11.0,13995.0,261.69
2014.0,0.0,10.0,8.0,4.0,0.0,5.0,2.0,0.0,4.0,5.0,8.78,167760.0,11.4,10.0,14900.0,419.1
2013.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,5.0,11.58,191687.0,8.6,11.0,14999.0,334.65
2011.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,11.58,154800.0,8.6,13.0,15495.0,329.08
2013.0,0.0,10.0,7.0,3.0,6.0,3.0,2.0,0.0,4.0,6.0,8.18,146000.0,12.2,11.0,15950.0,460.1
2015.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.74,192000.0,9.3,9.0,15988.0,435.32
